idx,seed,dim,vars,rho_max,xc1,dx,z1,z2,a1,a2,d1,d2,Ir,ex1,ex2,n1,n2,U,angle
0,89,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.7624525004828863,-0.01,-0.02,0.2,1.0,2.704572082529658,1.2991454876521027,-1.0,0,0,68,32,62.845777776729186,[85.96176505]
0,90,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.7059752071679063,2.268818421459665,1.7096938908841595,-1.0,0,0,57,43,0.5052771806663438,[63.72448832]
0,91,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.3243805152105107,2.898418045922833,2.688656043741261,-1.0,0,0,72,67,1.0615470610290907,[77.56912163]
0,92,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.6005982272071628,0.2,2.6015631527261585,2.933753563126224,-1.0,0,0,65,73,0.9484216057885657,[80.60744642]
0,93,7,xc1 dx a1 a2 d1 d2 Ir,25,1.5464394941947301,0.3307270976516329,-0.01,-0.02,0.44393606504498395,0.6409908030227262,1.2272329940171345,1.7107601187798502,-0.5345433743461846,0,0,31,43,2.2677958130310954e-11,[55.99932285]
0,94,7,xc1 dx a1 a2 d1 d2 Ir,25,0.9323918761233807,0.3084956173903572,-0.01,-0.02,0.31830061767519374,0.2719312624598158,1.0337895704400053,1.996390437646279,-0.3662124408613266,0,0,26,50,3.3958834001750495e-12,[36.00066477]
0,95,7,xc1 dx a1 a2 d1 d2 Ir,25,2.0,0.1,-0.01,-0.02,0.2,1.0,2.871111212139187,1.25664533595688,-1.0,0,0,72,31,1168.259013519384,[26.82807883]
0,96,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.24792985685155897,2.6355952820309936,2.5175681866126696,-1.0,0,0,66,63,0.6953805590176162,[71.5968823]
0,97,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.572390298858946,2.5925904370985218,2.1486956182422894,-1.0,0,0,65,54,0.8019835659627358,[70.97998566]
0,98,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.2,1.9466610592886928,2.456362766283276,-0.47561376339309913,0,0,49,61,3.408997751708706,[65.60952864]
0,99,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.2759855192784284,-0.01,-0.02,0.2,1.0,2.519754873016156,1.5023020167504402,-1.0,0,0,63,38,6.865018197719618,[76.46205687]
0,100,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.7411651847409649,2.4639179460665117,1.8670288697908075,-1.0,0,0,62,47,0.8253931988375713,[68.52441438]
0,101,7,xc1 dx a1 a2 d1 d2 Ir,25,1.8042559598944656,0.10000000147583075,-0.01,-0.02,0.8978679481873089,0.7455368465792157,1.934277356393948,2.3269412890601213,-0.8717063251446957,0,0,48,58,2.2132210506565246e-10,[36.00601526]
0,102,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.5829003919188644,2.215664985514943,1.7686749442339411,-1.0,0,0,55,44,0.34277909837728493,[61.48195122]
